CaseID,CaseStudy,FracZero,Latitude,Longitude,AggID,TimePeriod,Time,Cycles,DomAnimal,Continent,Innovation,Innovation2,CycleRate,NumDates,ExpandK,YearsperDT,Kincrease,BreaksMode,BreaksMax,BreakTimeB,BreakTimeE,Time2,Time3,InoPeriod,CycleAdopt,MeanGrow200
13,Yucatan,0.04,17.65,-89,Ag,4700-500,4200,2,0,N. America,2,Mixed,0.000476190476190476,1134,6,700,0.166666666666667,3,4,4700,1000,3700,2500,4500-2000,1,4
14,Southeast US,0.09,32,-85,Ag,4900-400,4500,4,0,N. America,2,Mixed,0.000888888888888889,879,4,1125,0.25,3,4,4900,700,4200,2500,3000-500,1,4
15,Central Andes,0.01,-16,-69,Ag,6500-1500,5000,5,1,S. America,1,Internal,0.001,710,6,833.333333333333,0.166666666666667,3,4,6500,1900,4600,2500,6500-4000,1,2.6
16,N. Mendoza,0.02,-32.76,-69.93,Ag,3000-200,2800,2,1,S. America,2,Mixed,0.000714285714285714,191,6,466.666666666667,0.166666666666667,3,4,3000,400,2600,2500,2700-200,0,8
17,N. Patagonia,0.02,-39.5,-69.5,Hg,3000-200,2800,3,0,S. America,1,Internal,0.00107142857142857,163,4,700,0.25,2,4,3000,400,2600,2500,2700-200,1,2
18,North Japan,0.13,44,141,Hg,6500-3000,3500,3,0,Eurasia,1,Internal,0.000857142857142857,2382,3,1166.66666666667,0.333333333333333,3,4,6500,4000,2500,2500,6600-3100,1,3
19,South Japan,0.34,35,130,Ag,3100-1000,2100,2,1,Eurasia,3,External,0.000952380952380952,5964,2,1050,0.5,4,4,3100,1600,1500,2500,3500-1000,0,8
20,SE China,0.06,34,115,Ag,11500-7000,4500,3,1,Eurasia,1,Internal,0.000666666666666667,1498,5,900,0.2,4,5,11500,7500,4000,2500,10000-7500,0,3
21,SW Asia,0,35,38,Ag,11500-7000,4500,7,1,Eurasia,1,Internal,0.00155555555555556,6224,6,750,0.166666666666667,4,5,11500,8700,2800,2500,11500-9000,1,5.5
22,West Central Europe,0.33,49.5,12.5,Ag,8500-5950,2550,0,1,Eurasia,3,External,0,4567,1,2550,1,3,3,8500,5950,2550,2500,8400-5900,0,3.5
23,Greece,0.11,36,22,Ag,9500-5000,4500,3,1,Eurasia,3,External,0.000666666666666667,993,3,1500,0.333333333333333,3,4,9500,6500,3000,2500,9500-7000,1,4.5
24,Italy,0.15,39,14,Ag,9000-4000,5000,4,1,Eurasia,3,External,0.0008,1133,2,2500,0.5,3,3,9000,6700,2300,2500,9000-6500,0,4
25,S. France,0.28,43,5,Ag,8500-3500,3500,1,1,Eurasia,3,External,0.000285714285714286,4252,4,875,0.25,4,5,8500,6000,2500,2500,8500-6000,0,11
26,Iberia,0.15,40,-3,Ag,8500-5000,3500,1,1,Eurasia,3,External,0.000285714285714286,4022,2,1750,0.5,4,5,8500,6950,1550,2500,8500-6000,0,7
27,S. Britain,0.53,52,-1,Ag,7000-4500,2500,1,1,Eurasia,3,External,0.0004,14044,2,1250,0.5,4,4,7000,5100,1900,2500,6800-4300,0,4.5
28,N Sea Basin,0.03,56,8,Ag,6800-4300,2500,1,1,Eurasia,3,External,0.0004,5843,4,625,0.25,4,5,6800,5300,1500,2500,6800-4300,0,7
29,N. France,0.23,47,1,Ag,8500-4500,4000,0,1,Eurasia,3,External,0,1643,2,2000,0.5,3,4,8500,5900,2600,2500,8700-6500,0,6
30,West S. Africa,0.13,-31,20,Ag,2700-300,2400,2,1,Africa,2,Mixed,0.000833333333333333,1059,3,800,0.333333333333333,3,5,2700,300,2400,2000,2400-400,1,3
31,East S. Africa,0.2,-28,30,Ag,2100-600,2100,1,1,Africa,3,External,0.000476190476190476,958,2,1050,0.5,4,5,2100,900,1200,2000,2400-400,0,4
32,SE Australia,0.01,-35,148,Hg,5000-500,4500,4,0,Australia,1,Internal,0.000888888888888889,1324,5,900,0.2,3,4,5000,500,4500,2500,3400-900,1,3
33,NW Australia,0.04,-15,135,Hg,5000-500,4500,5,0,Australia,1,Internal,0.00111111111111111,559,6,750,0.166666666666667,3,5,5000,950,4050,2500,3000-500,1,4
