Longitude,Latitude,Site Name,Trinomial,Assay No.,Provenience (if known),Feature Type (if any),Material,Taxa dated,Status ,Human,Age,Error,Corrected/Raw,Normalized 14C age,Normalized age error,Delta 13C,Delta 13C source,Raw/Measured Age,� Raw/Measured Age,AMS or Radiometric,Comments,Reference,pdf,Easting,Northing,UTM,Datum,Zone,Region,northing, easting, zone,,
-97.78,31.36,,41CV115,OxA-21509,"Unit #25.779R16.774, Feature #VI (F21), Depth 15-20cm",,CHARCOAL,,1A,No,140,29,Corrected,140,29,-29,measured,,,,,Fort Hood Database,,615707,3470150,14,NAD 83,Inland,CTx,3470150,615707,14,,
-95.63,29.79,Park Row- South,41HR184,Beta - 457759,"Trench 2, 20 cm below string", ,Charcoal, ,1A,No,150,30,Corrected,150,30,-26.8,Measured,0,0, , ,"Costa Database, 2018", ,246206,3298185,15,NAD 83,Riverine,TCP,3298185,246206,15,,
-95.22,29.79,Woodforest Road,41HR751,Beta-98350,S17 E21 Level II (feature 4),Possible Hearth,Charcoal, ,1A,No,150,50,Corrected,150,50,-25,Estimated,0,0, , ,"Hubbard, Nicola et al., 2015. Data Recovery Excavations at Site 41HR751, Woodforest Road, Harris County, Texas. Moore Archeological Consulting, Inc. Report of Investigations Number 178.","Hubbard, 41HR751 (Full Report).pdf",285855,3297242,15,NAD 83,Riverine,TCP,3297242,285855,15,,
-99.45,27.34,The Boiler Site,41WB557,Beta-149783,"Block North, Unit 144, Depth 22cmbs, Feature No. 22 east", ,Wood Charcoal, ,1A,No,150,40,Corrected,150,40,-23.6,Measured,130,40,AMS,Catalog No. 1677-9a-a. Beta sheets can be found in primary source.�,"Quigg et al, 2002. The Boiler Site (41WB557): Utilization of an Upland Setting Over the Last 4200 Years, Webb County, Texas.",Quigg 2002.pdf,455935,3024172,14,NAD 83,Inland,TCP,3024172,455935,14,,
-97.87,30.06,Barton Site North,41HY202,Beta-34222,Feature 27,hearth,charcoal,,1A,No,150,70,Corrected,150,70,,,170,70,,,"Ricklis, R. 1994. Archaic and Late Prehistoric Human Ecology in the Middle Onion Creek Valley, Hays County, Texas. Studies in Archeology 19, TARL. Vol 1 and 2. ",Ricklis 1994,608604,3325983,14,NAD 83,Inland,CTx,3325983,608604,14,,
-94.99,29.59,Gibbs Collection at Pine Gully,41HR422,PSUAMS-2461, , ,Bone Collagen, ,1A,,155,15,Corrected,155,15,-9.1,Measured,0,0,AMS, ,"Lohse Database, 2017",Lohse Database 2017 (Multi County).pdf,306843,3275059,15,NAD 83,Coastal,TCP,3275059,306843,15,,
-99.45,27.34,The Boiler Site,41WB557,Beta-149782,"Block North, Unit 144, Depth 21cmbs, Feature No. 22 east", ,Wood Charcoal, ,1A,No,160,50,Corrected,160,50,-23.8,Measured,140,50,AMS,Catalog No. 1677-11a-a.�Beta sheets can be found in primary source.�,"Quigg et al, 2002. The Boiler Site (41WB557): Utilization of an Upland Setting Over the Last 4200 Years, Webb County, Texas.",Quigg 2002.pdf,455935,3024172,14,NAD 83,Inland,TCP,3024172,455935,14,,
-97.75,31.12,,41BL991,BETA-153671,,,BONE,BISON bison,1A,No,160,40,Corrected,160,40,-11.1,measured,,,AMS,,Fort Hood Database,,619240,3443667,14,NAD 83,Inland,CTx,3443667,619240,14,,
-97.83,31.24,,41CV1030,BETA-102109,"Unit #8, Feature #2, Depth 146-160cm",BR CONCENTRATION,CHARCOAL,CELTIS LAEVIGATA,1A,No,160,60,Corrected,160,60,-25.7,measured,,,Radiometric,,Fort Hood Database,,611165,3456767,14,NAD 83,Inland,CTx,3456767,611165,14,,
-97.67,31.35,,41CV1505,BETA-73297,"Unit #1, Depth 12-17cm",,CHARCOAL,HARDWOOD,1A,No,160,60,Corrected,160,60,-28.2,measured,210,60,AMS,,Fort Hood Database,,626746,3469249,14,NAD 83,Inland,CTx,3469249,626746,14,,
-101.93,31.02,,41CX198,B-21619,F3 shovel test,,,,1A,No,160,60,Corrected,160,60,,,,,Radiometric,Few details listed. Reference given (Carlson & Mueller-Wille 1994) not located in search.�,"Turpin, Solveig A., 2000. Block 13: Archeological Survey on University Lands Crockett County, Texas. The University of Texas at Austin. ",Turpin 2000,220436,3435893,14,NAD 83,Inland,CTx,3435893,220436,14,,
-94.94,29.22, ,41GV66,D-AMS 036246,Burial F 63-1, ,Bone Collagen,Homo sp,1B,Yes,162,24,Corrected,162,24,0, ,0,0,AMS, ,Mauldin Database, ,311769,3233720,15,NAD 83,Coastal,TCP,3233720,311769,15,,
-98.38,31.29,Simms Creek,41LM113,D-AMS 019790,Lot 44,,Charcoal,,1A,No,162,23,Corrected,162,23,,,,,AMS,,"Kelly Pertulla database, CARD.  Hixson et al. 2019, BTAS Vol. 90",,559087,3462279,14,NAD 83,Inland,CTx,3462279,559087,14,,
-98.47,29.46,Brackenridge Park Paddle Boats Witte Parcel,41BX323,D-AMS-007783,CAR 339,,,,1A,No,164,21,Corrected,164,21,-21.3,,194,,,,,,551400,3259248,14,NAD 83,Inland,CTx,3259248,551400,14,,
-96.62,30.29,Casper,41WT1,PRI-5794, , ,Bone,"Bison, collagen",1A,No,165,20,Corrected,165,20,-12.8,measured,0,0,AMS, ,"Kelly Pertulla database, CARD.  Cummings 2017-PRI report 2017-67", ,728455,3353763,14,NAD 83,Inland,TCP,3353763,728455,14,,
-95.63,29.79,Park Row- South,41HR184,UCIAMS-156929,"XU 4, SU G, 10-20 cmbd, upper surface", ,Charcoal, ,1A,No,170,20,Corrected,170,20,-20.7,Measured,0,0,AMS, ,"Costa, August G. and Anastasia Gilmer, et al., 2018. Testing and Data Recovery Excavations at Site 41HR184 for Park Row Boulevard, Harris County, Texas. Moore Archeological Consulting, Inc. Report of Investigations Number 630.","Costa, 2018, 41HR184 (Full Report).pdf",246206,3298185,15,NAD 83,Riverine,TCP,3298185,246206,15,,
-95.63,29.79,Park Row- South,41HR184,PSU 6477,"41HR184, TX. U4 SubG L2 10-20 cmbd Lot 654", ,Charcoal, ,1A,No,170,20,Corrected,170,20,-20.7,measured,0,0, , ,"Costa Database, 2018", ,246206,3298185,15,NAD 83,Riverine,TCP,3298185,246206,15,,
-99.45,27.34,The Boiler Site,41WB557,Beta-149781,"Block North, Unit 104, Depth 0-10cmbs, Feature No. 21", ,Wood Charcoal, ,1A,No,170,40,Corrected,170,40,-25,Estimated,170,60,AMS,Catalog No. 1261-8b-a.�Beta sheets can be found in primary source.�,"Quigg et al, 2002. The Boiler Site (41WB557): Utilization of an Upland Setting Over the Last 4200 Years, Webb County, Texas.",Quigg 2002.pdf,455935,3024172,14,NAD 83,Inland,TCP,3024172,455935,14,,
-99.7,28.77,Tortuga Flat,41ZV155,TX-1514,Northern portion of the Rio Grande Plain, ,Charcoal, ,1A,No,170,60,Corrected,170,60,0, ,0,0,Radiometic,Found in back of unrelated survey,"Day, Laurens-Day, and Prewitt 1981. Cultural Resources Surveys and Assesments in Portions of Hildalgo and Willacy Counties, Texas.",Day 1981.pdf,431621,3182866,14,NAD 83,Inland,TCP,3182866,431621,14,,
-97.54,31.19,,41BL233,BETA-65259,,BRMO,BONE,,1A,No,170,50,Corrected,170,50,-22.4,measured,130,,AMS,,Fort Hood Database,,638942,3451598,14,NAD 83,Inland,CTx,3451598,638942,14,,
-97.84,31.22,,41CV594,BETA-64230,"Unit #2, Feature #2, Depth 10-20cm",BRMO,CHARCOAL,,1A,No,170,70,Corrected,170,70,-27.2,measured,210,70,AMS,,Fort Hood Database,,610089,3454956,14,NAD 83,Inland,CTx,3454956,610089,14,,
-101.73,30.74,,41CX131,Tx-2790,Area C,Midden,Charcoal,,1A,No,170,50,Corrected,170,50,,,,,,,"Luke, Clive J., 1983. Continuing Archaeology on Interstate Highway 10: The Musk Hog Canyon Project, Crockett County, Texas. State Department of Highways and Public Transportation, Report No. 24.",Luke 1983,238978,3403413,14,NAD 83,Inland,CTx,3403413,238978,14,,
-100.07,30.02,Varga ,41ED28,Beta-175401,"Fea. 25, Blk. B, Unit N127/E75, 25-35 cm",,Charcoal,,1A,No,170,60,Corrected,170,60,-25.4,measured,170,60,,,"Quigg, J. Michael, et al., 2008. The Varga Site: A Multicomponent, Stratified Campsite in the Canyonlands of Edwards County, Texas. TRC Enviromental Corporation, Austin, Texas. Technical Report No. 35319. ",Quigg 2008.pdf,397193,3321947,14,NAD 83,Inland,CTx,3321947,397193,14,,
-95.63,29.79,Park Row- South,41HR184,UCIAMS-156922,"XU 3, SU E, 20-30 cmbd, upper surface", ,Charcoal, ,1A,No,175,15,Corrected,175,15,-21.8,Measured,0,0,AMS, ,"Costa, August G. and Anastasia Gilmer, et al., 2018. Testing and Data Recovery Excavations at Site 41HR184 for Park Row Boulevard, Harris County, Texas. Moore Archeological Consulting, Inc. Report of Investigations Number 630.","Costa, 2018, 41HR184 (Full Report).pdf",246206,3298185,15,NAD 83,Riverine,TCP,3298185,246206,15,,
-95.63,29.79,Park Row- South,41HR184,PSU 6470,"41HR184, TX. U3 SubE L3 20-30 cmbd Lot 371", ,Charcoal, ,1A,No,175,15,Corrected,175,15,-21.8,measured,0,0, , ,"Costa Database, 2018", ,246206,3298185,15,NAD 83,Riverine,TCP,3298185,246206,15,,
-95.45,29.05,Shy Pond,41BO15,TX-1116B,"From top of shell zone from Trenches 2 and 4, and between Trenches 5 and 2.", ,Charcoal, ,1A,No,180,60,Raw,0,0,0, ,180,60, ,"""Archaeologic estimate of date of assemblage AD1350 to 1500; if this is correct, TX-1116B on Charcoal is too young.""",Valastro,Valastro1970.pdf,261450,3216301,15,NAD 83,Coastal,TCP,3216301,261450,15,,
-95.22,29.79,Woodforest Road,41HR751,Beta-98349,S12 E22 Level III, ,Charcoal, ,1A,No,180,40,Corrected,180,40,-25,Estimated,0,0, , ,"Hubbard, Nicola et al., 2015. Data Recovery Excavations at Site 41HR751, Woodforest Road, Harris County, Texas. Moore Archeological Consulting, Inc. Report of Investigations Number 178.","Hubbard, 41HR751 (Full Report).pdf",285855,3297242,15,NAD 83,Riverine,TCP,3297242,285855,15,,
-98.66,29.38,Lackland Site #46,41BX1114,Beta-96368,Feature 1,,charred material,,1A,No,180,50,Corrected,180,50,-25,,180,,,,,,533213,3250596,14,NAD 83,Inland,CTx,3250596,533213,14,,
-98.46,29.33,,41BX254,Beta-260894,Unit 74 Feature 33,,charred material,,1A,No,180,40,Corrected,180,40,-23.7,,160,,,,,,552589,3244558,14,NAD 83,Inland,CTx,3244558,552589,14,,
-97.86,31.18,,41CV1221,BETA-102130,"Unit #5, Depth 80-90cm",,CHARCOAL,,1A,No,180,40,Corrected,180,40,-25.4,measured,,,AMS,,Fort Hood Database,,608923,3449734,14,NAD 83,Inland,CTx,3449734,608923,14,,
-97.78,31.26,,41CV124,BETA-64228,"Unit #2, Feature #2, Depth 30-40cm",BRMO,CHARCOAL,,1A,No,180,70,Corrected,180,70,-27.5,measured,220,70,AMS,,Fort Hood Database,,616230,3458938,14,NAD 83,Inland,CTx,3458938,616230,14,,
-97.91,31.22,,41CV174,BETA-70658,Unit #5,,CHARCOAL/SOIL,,1A,No,180,60,Corrected,180,60,-27.4,measured,,,,,Fort Hood Database,,604216,3455015,14,NAD 83,Inland,CTx,3455015,604216,14,,
-99.78,30.48,Flatrock Road ,41KM69,UGA-13591,"Area 2, TU 8, Feature 2, 32cmbs",Hearth,Charcoal,,1A,No,180,40,Corrected,180,40,-25.73,measured,190,40,AMS,Sample ID: 41KM69-402-7,"Thompson, Jennifer L. at al, 2012. Archeological Testing and Data Recovery at the Flatrock Road Site, 41KM69, Kimble County, Texas. Center for Archaeological Research, The University of Texas at San Antonio. Archaeological Report, No. 419. ",Thompson 2012.pdf,425417,3371981,14,NAD 83,Inland,CTx,3371981,425417,14,,
-98.43,31.12,,41LM50,UGA-14419,"Feature 2, 7 cmbs ",discard area?,Charcoal,,1A,No,180,40,Corrected,180,40,-25.7,measured,190,40,AMS,2 Sigma calibration given: AD 1640-1960,"Quigg, J. Michael, Matchen, Paul M., Ricklis, Robert A., Gray, Shannon, Frederick, Charles D., 2014, Eligibility Testing at Three Prehistoric Sites at Lynch Creek, Lampasas County, Texas, Index of Texas Archaeology: Open Access Gray Literature from the Lone Star State",Quigg 2014,554470,3443243,14,NAD 83,Inland,CTx,3443243,554470,14,,
-99.31,30.68,Honey Creek,41MS32,CAMS-7466,burned rock midden ,Burned rock midden,Charcoal,coyotillo seeds,1A,No,180,90,Corrected,180,90,,,,,AMS,,,,470601,3394209,14,NAD 83,Inland,CTx,3394209,470601,14,,
